NU_ANO_CENSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,IN_CAPITAL,TP_DIMENSAO,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,CO_IES,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,CO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,CO_CINE_AREA_ESPECIFICA,NO_CINE_AREA_ESPECIFICA,CO_CINE_AREA_DETALHADA,NO_CINE_AREA_DETALHADA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,TP_NIVEL_ACADEMICO,QT_CURSO,QT_VG_TOTAL,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_EAD,QT_VG_NOVA,QT_VG_PROC_SELETIVO,QT_VG_REMANESC,QT_VG_PROG_ESPECIAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_EAD,QT_INSC_VG_NOVA,QT_INSC_PROC_SELETIVO,QT_INSC_VG_REMANESC,QT_INSC_VG_PROG_ESPECIAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_DIURNO,QT_ING_NOTURNO,QT_ING_VG_NOVA,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_EGR,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_PROC_SELETIVO,QT_ING_VG_REMANESC,QT_ING_VG_PROG_ESPECIAL,QT_ING_OUTRA_FORMA,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_DIURNO,QT_MAT_NOTURNO,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_DIURNO,QT_CONC_NOTURNO,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_NACBRAS,QT_ING_NACESTRANG,QT_MAT_NACBRAS,QT_MAT_NACESTRANG,QT_CONC_NACBRAS,QT_CONC_NACESTRANG,QT_ALUNO_DEFICIENTE,QT_ING_DEFICIENTE,QT_MAT_DEFICIENTE,QT_CONC_DEFICIENTE,QT_ING_FINANC,QT_ING_FINANC_REEMB,QT_ING_FIES,QT_ING_RPFIES,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_NREEMB,QT_ING_PROUNII,QT_ING_PROUNIP,QT_ING_NRPFIES,QT_ING_FINANC_NREEMB_OUTROS,QT_MAT_FINANC,QT_MAT_FINANC_REEMB,QT_MAT_FIES,QT_MAT_RPFIES,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_NREEMB,QT_MAT_PROUNII,QT_MAT_PROUNIP,QT_MAT_NRPFIES,QT_MAT_FINANC_NREEMB_OUTROS,QT_CONC_FINANC,QT_CONC_FINANC_REEMB,QT_CONC_FIES,QT_CONC_RPFIES,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_NREEMB,QT_CONC_PROUNII,QT_CONC_PROUNIP,QT_CONC_NRPFIES,QT_CONC_FINANC_NREEMB_OUTROS,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_MAT_RESERVA_VAGA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVETNICO,QT_MAT_RVPDEF,QT_MAT_RVSOCIAL_RF,QT_MAT_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA,QT_PARFOR,QT_ING_PARFOR,QT_MAT_PARFOR,QT_CONC_PARFOR,QT_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,QT_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,QT_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA
2022,,0,,,0,,0,0,3,1,1,1,584,Artes Cenicas,1147015,Teatro formacao de professor,"""0114T01""",1,Educacao,11,Educacao,114,Formacao de professores em areas especificas (exceto Letras),2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,,0,,,0,,0,0,3,1,1,1,584,Artes Visuais,1160314,Artes visuais formacao de professor,"""0114A02""",1,Educacao,11,Educacao,114,Formacao de professores em areas especificas (exceto Letras),2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,,0,,,0,,0,0,3,1,1,1,584,Biblioteconomia,1602381,Biblioteconomia,"""0322B01""",3,Ciencias sociais - comunicacao e informacao,32,Comunicacao e informacao,322,Ciencia da informacao e museologia,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Centro-Oeste,5,Goias,GO,52,Alexania,5200308,0,2,1,1,1,584,Artes Cenicas,1147015,Teatro formacao de professor,"""0114T01""",1,Educacao,11,Educacao,114,Formacao de professores em areas especificas (exceto Letras),2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,0,0,1,1,4,0,1,1,1,4,1,0,0,7,5,2,0,0,0,0,0,1,1,4,0,1,1,1,4,1,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Centro-Oeste,5,Goias,GO,52,Anapolis,5201108,0,2,1,1,1,584,Artes Visuais,1160314,Artes visuais formacao de professor,"""0114A02""",1,Educacao,11,Educacao,114,Formacao de professores em areas especificas (exceto Letras),2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2022,Centro-Oeste,5,Goias,GO,52,Anapolis,5201108,0,2,1,1,1,584,Biblioteconomia,1602381,Biblioteconomia,"""0322B01""",3,Ciencias sociais - comunicacao e informacao,32,Comunicacao e informacao,322,Ciencia da informacao e museologia,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,7,0,0,0,2,4,10,4,5,3,0,13,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,1,6,0,0,0,0,0,0,0,5,3,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
2022,Centro-Oeste,5,Goias,GO,52,Aparecida de Goiania,5201405,0,1,1,1,1,584,Engenharia De Materiais,1594433,Engenharia de materiais,"""0722E01""",7,Engenharia - producao e construcao,72,Producao e processamento,722,Materiais,1,1,1,1,1,40,40,0,0,40,0,0,0,162,162,0,0,162,0,0,0,32,10,22,32,0,32,0,32,0,0,0,0,0,0,0,0,0,27,2,3,0,0,0,0,15,6,11,0,0,0,23,9,14,23,0,0,21,0,2,0,0,0,0,12,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,22,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,10,1,7,0,8,8,6,1,6,0,0,0,0,0,0,0,6,3,0,0,18,14,0,11,12,0,0,0,0,0,0,0,0,8,8,7,0,1,1,1,0,0,0,0,0
2022,Centro-Oeste,5,Goias,GO,52,Aparecida de Goiania,5201405,0,1,1,1,1,584,Engenharia De Producao,1300254,Engenharia de producao,"""0725E02""",7,Engenharia - producao e construcao,72,Producao e processamento,725,Producao e processos de fabricacao,1,1,1,1,1,53,53,0,0,40,0,13,0,241,241,0,0,219,0,22,0,44,19,25,44,0,34,0,34,0,0,0,0,0,10,0,0,0,42,1,0,0,1,0,0,25,2,16,0,0,1,181,77,104,181,0,0,149,27,3,0,2,0,0,82,8,83,1,0,7,26,15,11,26,0,0,13,13,0,0,0,0,0,11,1,13,0,0,1,44,0,181,0,26,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,8,0,10,0,64,64,36,0,31,0,7,7,5,0,2,0,15,19,4,0,18,26,0,78,103,0,9,17,0,0,0,0,0,35,7,32,5,46,2,44,2,0,0,0,0
2022,Centro-Oeste,5,Goias,GO,52,Aparecida de Goiania,5201405,0,1,1,1,1,584,Engenharia De Transportes,1313291,Engenharia de transportes,"""0732E03""",7,Engenharia - producao e construcao,73,Arquitetura e construcao,732,Engenharia civil e construcao,1,1,1,1,1,60,60,0,0,40,0,20,0,145,145,0,0,141,0,4,0,37,9,28,37,0,35,0,35,0,0,0,0,0,2,0,0,0,30,2,2,0,2,1,0,17,6,13,1,0,0,116,36,80,116,0,0,83,16,7,2,7,1,0,53,15,43,2,0,3,13,7,6,13,0,0,8,5,0,0,0,0,0,6,3,4,0,0,0,37,0,116,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,6,0,9,0,45,45,27,0,20,0,4,4,2,0,2,0,30,27,3,0,19,18,0,57,59,0,5,8,0,0,0,0,0,27,10,24,1,22,1,20,2,0,0,0,0
2022,Centro-Oeste,5,Goias,GO,52,Aparecida de Goiania,5201405,0,1,1,1,1,584,Geologia,1313290,Geologia,"""0532G02""",5,Ciencias naturais - matematica e estatistica,53,Ciencias fisicas,532,Ciencias da terra,1,1,1,1,1,55,55,0,0,40,0,15,0,134,134,0,0,131,0,3,0,25,12,13,25,0,25,0,25,0,0,0,0,0,0,0,0,1,19,3,1,1,0,0,0,13,1,11,0,0,0,153,74,79,153,0,0,80,45,16,5,5,2,0,75,15,54,5,1,3,20,11,9,20,0,0,4,13,2,1,0,0,0,9,1,7,1,1,1,25,0,153,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,5,0,6,0,74,74,39,0,30,0,9,9,5,0,4,0,16,22,0,0,14,11,0,94,59,0,10,10,0,0,0,0,0,42,5,33,4,78,1,75,20,0,0,0,0
